"CODE_ID","DESC_FRE","DESC_ENG"
11883,"Mort","Dead"
39589,"Semble en bonne santé","Appears healthy"
39590,"Malade","Sick"
39591,"Inconnu","Unknown"
39622,"Blessé","Injured"
