"CODE_ID","DESC_FRE","DESC_ENG"
1979,"Terrassier tacheté","Wrymouth"
1985,"Buccin (Buccinum undatum)","Whelk"
1987,"Turbot de sable","Windowpane"
1993,"Brochet, Grand","Pike, Northern (Jackfish)"
1997,"Morse","Walrus"
3368,"Eulakane","Eulachon"
3370,"Sardine du Pacifique","Sardine, Pacific"
3374,"Oursin rouge","Sea Urchin, Red"
3376,"Saumons du Pacifique","Salmons, Pacific"
3378,"Morue charbonnière","Sablefish"
3380,"Sébaste aux yeux jaunes","Rockfish, Yelloweye"
3384,"Requin griset","Shark, Sixgill"
3388,"Éperlan arc-en-ciel (Osmerus mordax)","Smelt, Rainbow (Osmerus mordax)"
3390,"Panope","Geoduck"
3392,"Hareng atlantique","Herring, Atlantic"
3394,"Crevette tachée","Prawn"
3651,"Saumon Chinook","Salmon, Chinook"
3653,"Saumon kéta","Salmon, Chum"
3655,"Saumon coho","Salmon, Coho"
3657,"Saumon rose","Salmon, Pink"
3659,"Saumon nerka","Salmon, Sockeye"
3674,"Rorqual commun","Whale, Fin"
3994,"Pronote non spécifié","Searobins, Atlantic"
4311,"Poisson de fond non spécifié","Groundfish, Unspecified"
4408,"Hareng du Pacifique","Herring, Pacific"
4411,"Flétan du Pacifique","Halibut, Pacific"
4413,"Merlu du Pacifique","Hake, Pacific"
4415,"Cisco de lac","Cisco, Lake (Tullibee/Lake Herring)"
4417,"Palourde jaune","Clams, Butter"
4420,"Crabe dormeur","Crab, Dungeness"
4424,"Crabe royal du Kamchatka ","Crab, Red King"
4426,"Tourteau rouge","Crab, Red Rock"
4436,"Huître creuse du Pacifique","Oyster, Pacific"
4438,"Goberge d'Alaska","Pollock, Walleye"
4440,"Sébaste bec-de-lièvre","Rockfish, Splitnose"
4442,"Sébaste Aurora","Rockfish, Aurora"
4444,"Sébaste noir","Rockfish, Black"
4446,"Sébaste bleu","Rockfish, Blue"
4448,"Bocaccio","Bocaccio"
4450,"Sébaste brun","Rockfish, Brown"
4452,"Sébaste canari","Rockfish, Canary"
4454,"Sébaste de Goode","Rockfish, Chilipepper"
4457,"Sébaste de Chine","Rockfish, China"
4459,"Sébaste cuivré","Rockfish, Copper"
4461,"Sébaste tacheté","Rockfish, Darkblotched"
4463,"Sébastes sombre","Rockfish, Dusky"
4465,"Sébaste à bandes vertes","Rockfish, Greenstriped"
4467,"Sébaste Arlequin","Rockfish, Harlequin"
4469,"Sébaste à quatorze épines","Rockfish, Northern"
4471,"Sébaste paradeur","Rockfish, Puget Sound"
4473,"Sébaste pygmée","Rockfish, Pygmy"
4475,"Sébaste à dos épineux","Rockfish, Quillback"
4477,"Sébaste à bandes rouges","Rockfish, Redbanded"
4479,"Sébaste à raie rouge","Rockfish, Redstripe"
4481,"Sébaste rosacé","Rockfish, Rosethorn"
4483,"Sébaste à oeil épineux","Rockfish, Rougheye"
4485,"Sébaste (Sebastes zacentrus)","Rockfish, Sharpchin"
4487,"Sébaste à ventre court","Rockfish, Shortbelly"
4489,"Sébaste boréal","Rockfish, Shortraker"
4491,"Sébaste argenté","Rockfish, Silvergray"
4493,"Sébaste à queue rayée","Rockfish, Stripetail"
4495,"Sébaste-tigre","Rockfish, Tiger"
4497,"Sébaste vermillon","Rockfish, Vermilion"
4499,"Veuve","Rockfish, Widow"
4501,"Sébaste à bouche jaune","Rockfish, Yellowmouth"
4503,"Sébaste à queue jaune","Rockfish, Yellowtail"
4509,"Pétoncle épineux","Scallop, Spiny"
4513,"Oursin vert (Lytechinus variegatus)","Sea Urchin, Green (Lytechinus variegatus)"
4515,"Otarie de Californie","Sea Lion, California"
4519,"Otarie de Steller","Sea Lion, Steller"
4521,"Crevette à front rayé (PANDALUS HYPSINOTUS)","Shrimp, Humpback (PANDALUS HYPSINOTUS)"
4527,"Loutre de mer","Otter, Sea"
4529,"Plie (ISOPSETTA ISOLEPIS)","Sole, Butter"
4531,"Plie vaseuse","Sole, C-O"
4533,"Plie (PLEURONICHTHYS DECURRENS)","Sole, Curlfin"
4535,"Limande sole du Pacifique","Sole, Dover"
4537,"Carlottin anglais","Sole, English"
4539,"Plie (HIPPOGLOSSOIDES ELASSODON)","Sole, Flathead"
4541,"Carlottin pétrale","Sole, Petrale"
4543,"Fausse limande du Pacifique","Sole, Southern Rock"
4547,"Carlottin pétrale (Lyopsette exilis)","Sole, Slender"
4549,"Plie (LIMANDA ASPERA)","Sole, Yellowfin"
4551,"Esturgeon vert","Sturgeon, Green"
4553,"Esturgeon blanc","Sturgeon, White"
4555,"Poulamon du Pacifique","Tomcod, Pacific"
4561,"Tortue caouanne","Turtle, Loggerhead Sea"
