"CODE_ID","DESC_FRE","DESC_ENG"
825,"Très petit","Extra Small"
826,"Petit","Small"
827,"Moyen","Medium"
828,"Gros","Large"
829,"Très gros","Extra Large"
10670,"Non classé","Unsized"
10891,"Géant(e)","Jumbo"
38005,"Super géant(e)","Super Jumbo"
